ProductID,ProductName,Category,UnitPrice
P001,deliver_bricks-and-clicks_platforms_Attention,Books,228.41
P002,deploy_clicks-and-mortar_info-mediaries_Air,Clothing,209.49
P003,orchestrate_customized_e-tailers_Let,Groceries,220.93
P004,incubate_proactive_ROI_Body,Electronics,73.99
P005,deliver_innovative_bandwidth_Quite,Electronics,349.79
P006,drive_integrated_e-commerce_Tough,Groceries,264.06
P007,extend_rich_synergies_Fill,Books,30.04
P008,orchestrate_frictionless_applications_A,Clothing,203.47
P009,extend_efficient_metrics_However,Home Goods,184.84
P010,aggregate_cross-media_e-markets_Indeed,Books,142.86
P011,transition_front-end_architectures_Leader,Books,221.74
P012,empower_magnetic_ROI_Human,Home Goods,213.96
P013,whiteboard_robust_convergence_Success,Clothing,497.86
P014,aggregate_customized_action-items_As,Electronics,305.3
P015,mesh_clicks-and-mortar_eyeballs_Until,Groceries,45.19
P016,streamline_24/365_interfaces_Bank,Groceries,325.2
P017,enable_mission-critical_networks_Skill,Clothing,42.05
P018,orchestrate_e-business_metrics_Respond,Toys,211.98
P019,disintermediate_out-of-the-box_interfaces_Daughter,Home Goods,34.52
P020,aggregate_wireless_architectures_Reason,Clothing,411.89
P021,aggregate_distributed_communities_Great,Groceries,225.39
P022,scale_24/365_convergence_Someone,Electronics,266.17
P023,empower_front-end_supply-chains_War,Groceries,264.98
P024,deliver_turn-key_deliverables_Cover,Groceries,257.97
P025,implement_virtual_e-markets_These,Groceries,120.12
P026,transition_scalable_users_Must,Groceries,288.78
P027,cultivate_e-business_experiences_Financial,Electronics,170.95
P028,facilitate_open-source_partnerships_So,Home Goods,107.32
P029,enable_ubiquitous_interfaces_Speak,Groceries,111.83
P030,target_24/7_users_Group,Clothing,331.12
P031,brand_synergistic_networks_Leader,Clothing,156.1
P032,visualize_cross-media_metrics_Control,Clothing,249.28
P033,enhance_vertical_networks_Whose,Electronics,425.01
P034,cultivate_viral_architectures_Model,Home Goods,305.38
P035,implement_best-of-breed_bandwidth_Moment,Groceries,311.73
P036,incubate_extensible_info-mediaries_Democrat,Groceries,61.0
P037,scale_ubiquitous_deliverables_Money,Groceries,105.47
P038,seize_best-of-breed_systems_Contain,Electronics,169.84
P039,orchestrate_compelling_e-tailers_Huge,Electronics,282.16
P040,implement_back-end_mindshare_Important,Books,79.81
P041,harness_frictionless_relationships_Town,Home Goods,402.72
P042,transform_best-of-breed_ROI_Policy,Home Goods,251.99
P043,strategize_proactive_methodologies_Game,Books,14.86
P044,engage_rich_web_services_Weight,Toys,463.49
P045,enable_magnetic_platforms_Hand,Toys,215.73
P046,streamline_B2B_technologies_Nearly,Electronics,316.4
P047,embrace_world-class_networks_Very,Home Goods,51.25
P048,extend_next-generation_info-mediaries_Wife,Electronics,448.43
P049,mesh_integrated_communities_Budget,Electronics,51.07
P050,generate_wireless_metrics_International,Toys,415.1
P051,aggregate_integrated_systems_Owner,Clothing,239.06
P052,mesh_B2C_bandwidth_Chance,Toys,117.91
P053,evolve_visionary_metrics_Night,Clothing,406.45
P054,morph_end-to-end_paradigms_Chance,Books,430.0
P055,reinvent_dot-com_architectures_Economic,Toys,446.8
P056,envisioneer_plug-and-play_methodologies_Step,Toys,262.45
P057,envisioneer_global_users_Bar,Home Goods,347.32
P058,embrace_bleeding-edge_channels_Technology,Books,362.84
P059,implement_leading-edge_web-readiness_Whatever,Clothing,150.21
P060,incubate_ubiquitous_e-markets_This,Electronics,92.96
P061,benchmark_leading-edge_e-tailers_Return,Home Goods,111.18
P062,engineer_24/7_channels_Today,Home Goods,332.13
P063,aggregate_scalable_systems_Trial,Electronics,246.13
P064,aggregate_leading-edge_experiences_Fire,Home Goods,67.06
P065,transition_strategic_technologies_Able,Toys,96.87
P066,re-intermediate_mission-critical_e-business_Sister,Home Goods,294.16
P067,brand_synergistic_metrics_Affect,Home Goods,430.12
P068,maximize_cutting-edge_paradigms_I,Toys,477.43
P069,monetize_interactive_action-items_Unit,Home Goods,449.46
P070,deploy_one-to-one_niches_Option,Toys,291.88
P071,scale_front-end_portals_Media,Home Goods,34.67
P072,implement_end-to-end_e-business_Husband,Electronics,432.85
P073,transition_24/365_models_Begin,Clothing,42.54
P074,monetize_viral_web-readiness_Direction,Groceries,347.39
P075,brand_innovative_e-tailers_White,Groceries,399.28
P076,re-intermediate_transparent_markets_Owner,Clothing,38.76
P077,integrate_out-of-the-box_web_services_Pay,Home Goods,99.57
P078,engage_collaborative_ROI_Say,Home Goods,494.23
P079,re-contextualize_out-of-the-box_web_services_Enter,Home Goods,341.53
P080,aggregate_collaborative_methodologies_Seek,Home Goods,18.14
P081,engage_24/7_web_services_Type,Books,328.71
P082,seize_frictionless_networks_Or,Books,114.62
P083,visualize_magnetic_experiences_Us,Groceries,114.24
P084,expedite_24/7_platforms_Indeed,Electronics,199.47
P085,extend_one-to-one_users_Age,Books,406.18
P086,innovate_collaborative_interfaces_Among,Electronics,141.24
P087,iterate_best-of-breed_e-tailers_Able,Home Goods,366.27
P088,incubate_back-end_channels_Second,Groceries,207.33
P089,envisioneer_enterprise_platforms_Think,Toys,218.83
P090,incubate_real-time_info-mediaries_Lead,Home Goods,158.5
P091,mesh_world-class_supply-chains_Man,Home Goods,297.64
P092,transition_turn-key_portals_Laugh,Home Goods,54.98
P093,grow_bricks-and-clicks_applications_Hold,Clothing,298.85
P094,utilize_dot-com_initiatives_Under,Clothing,89.5
P095,disintermediate_synergistic_e-commerce_Test,Books,76.13
P096,matrix_collaborative_applications_Know,Groceries,133.63
P097,scale_intuitive_schemas_General,Home Goods,425.56
P098,integrate_world-class_partnerships_Learn,Groceries,177.94
P099,facilitate_killer_users_Agreement,Clothing,325.86
P100,empower_distributed_models_Student,Groceries,163.87
